talk_id,speaker_occupation
945,iranian visual artist
946,journalist
947,violinist
948,provocateur
949,roboticist 
950,graphic designer
951,physicist
952,designer
953,philosopher
953,entrepreneur
954,dinosaur digger
955,artist
956,chief economist
956,senior vice president
956,world bank
957,historian
958,communicator
959,physician scientist
960,artist
960,curator
961,entrepreneur
962,photographer
963,beatjazz inventor
963,controllerist
964,cellist
965,"executive chair, ford motor co."
966,linguist
966,educator
967,cartoonist
968,artist
969,comedian
969,activist
970,community activist
971,computational neuroscientist
972,e-patient
973,friend of the high line
974,technologist
975,polymath
976,educator
977,author
977,producer
978,tissue engineering researcher
979,internet freedom activist
980,anti-extremism activist
981,economist
981,journalist
981,broadcaster
982,journalist
983,cybersecurity expert
984,actor
985,algoworld expert
986,designer
987,politician
988,theorist
989,psychologist
990,anti-hunger leader
991,sound consultant
992,journalist
993,communications technology innovator
994,evolutionary biologist
995,engineer
995,biodiversity scientist
996,psychologist
997,playwright
997,activist
998,planetary futurist
999,penguin expert
1000,peace activist
1001,stellar astronomer
1002,techno-illusionist
1003,behavioral economist
1004,geneticist
1005,filmmaker
1006,inventor
1007,author
1007,zen priest
1008,historian of technology
1008,culture
1009,actor
1009,writer
1010,chemist
1011,artist
1012,political economist
1013,underworld investigator
1014,artist
1014,technologist
1015,entrepreneur
1016,media executive
1017,nonprofit vc
1018,historian
1019,data researcher
1020,global development worker
1021,cancer researcher
1022,visualizer
1022,gamestorming
1023,physician
1023,author
1024,social commentator
1025,filmmaker
1026,debunker
1027,soprano
1028,media mogul
1028,tv host
1029,artificial life researcher
1030,journalist
1031,visionary
1032,plastics recycler
1033,conductor
1034,child development psychologist
1035,designer
1036,software entrepreneur
1037,lie detector
1038,artist
1039,educator
1040,science entrepreneur
1041,author
1042,biomedical engineer
1043,artist
1044,public health researcher
1045,psychiatrist
1045,writer
1046,writer
1047,research scientist
1048,papercutter artist
1049,privacy artist
1050,neuroeconomist
1051,inventor
1052,movement expert
1053,techno-illusionist
1054,journalist
1055,translator
1055,plain language activist
1056,chemist
1057,artist
1058,digital preservationist
1059,brain scientist
1060,comedian
1061,tech investor
1062,physicist
1063,medical image maker
1064,jetman
1065,developer
1065,12 year old
1066,biochemist
1066,geneticist
1067,comedian
1068,entrepreneur
1068,author
1069,activist
1070,astronomer
1071,roboticist
1072,storyteller
1073,artist
1073,urban farmer
1074,pro snowboarder
1075,philosopher
1075,entrepreneur
1076,science author
1077,science writer
1078,researcher
1079,wrongologist
1080,reporter
1081,poet
1082,organizer
1083,computer scientist
1084,spider silk scientist
1085,medical inventor
1086,jazz vibraphonist
1087,engineer
1088,engineer
1088,social entrepreneur
1089,photographer
1090,surgeon
1091,environmental economist
1092,chef
1093,education innovator
1094,gardening activist
1095,philosopher
1096,neuroscientist
1097,neuroscientist
1098,behavioral economist
1099,anti-torture activist
1100,physiotherapist
1101,author
1102,actor
1102,activist
1103,diplomat
1104,data scientist
1105,civic thought leader
1106,physicist
1107,economist
1108,science fair winner
1109,foreign minister of norway
1110,biomedical animator
1111,singer-songwriter
1112,engineer
1112,nuclear technologist
1113,contemporary music ensemble
1114,
1115,philosopher
1116,cybersecurity expert
1117,social media theorist
1118,psycho-economist
1119,mathematician
1120,nasa scientist
1121,philosopher
1122,3d printing entrepreneur
1123,journalist
1123,swimmer
1124,physician
1124,broadcaster
1125,reporter
1126,architect
1127,"ceo, kiva systems"
1128,general
1129,engineer
1130,psychologist
1131,medical technologist
1132,computer theorist
1133,filmmaker
1134,economist
1134,techno-activist
1135,"ceo, presentation designer"
1136,neuroscientist
1137,ethicist
1138,"founder, doha film institute"
1139,dinosaur digger
1140,photographer
1140,retoucher
1141,leadership educator
1142,teacher
1143,biologist
1144,writer
1145,singer
1145,songwriter
1146,healthcare innovator
1147,marine biologist
1148,aid worker
1149,photographer
1150,stellar astronomer
1151,director of the british museum
1152,writer
1153,artist
1154,economist
1155,entrepreneur
1156,computer security expert
1157,"senior editor, time magazine"
1158,youtube trends manager
1159,marine biologist
1160,fisheries biologist
1161,space activist
1162,writer
1163,roboticist
1164,quiet revolutionary
1165,public-interest lawyer
1166,filmmaker
1167,climatologist
1168,code activist
1169,social energy entrepreneur
1170,"artist, designer"
1171,"professor of economics, university of waterloo"
1172,neuroscientist
1173,ted curator
1174,oceanographer
1175,maker
1175,critical thinker
1176,social psychologist
1177,author
1177,entrepreneur
1178,vulnerability researcher
1179,industrial designer
1180,architect
1181,entrepreneur
1181,energy theorist
1182,physician
1183,nuclear scientist
1184,poet
1185,data artist
1186,doctor
1186,intensive care specialist
1187,materials engineer
1188,former director of darpa
1189,peace activist
1189,nobelist
1190,engineer
1190,artist
1191,techno-illusionist
1192,founder
1192,executive director
1192,earthspark international
1193,
1194,marine biologist
1195,cultural analyst
1196,graphic designer
1197,technologist
1198,body architect 
1199,performance artist
1200,professor
1201,secret keeper
1202,primatologist
1203,philanthropist
1204,engineer
1204,artist
1205,clawhammer banjo player
1206,surgeon
1206,journalist
1207,web entrepreneur
1208,photographer
1209,psychologist
1210,archaeological geneticist
1211,physicist
1212,social science researcher
1213,educator
1214,mayor of rio de janeiro
1215,activist
1216,lawyer
1217,game designer
1218,designer
1219,physicist
1219,energy guru
1220,kinetic sculptor
1221,
1222,advertising guru
1223,blogger
1223,fashion icon
1224,photographer
1225,musician
1225,conductor
1226,technologist
1227,natural history filmmaker 
1228,writer
1229,skeptimist
1230,professor of music
1231,malariologist
1232,cognitive neuroscientist
1233,data researcher
1234,designer
1234,educator
1235,neuroscience phd student
1235,writer
1236,street artist
1237,graphic designer
1238,marine biologist
1239,virus hunter
1240,global health expert
1240,data visionary
1241,high-wire artist
1242,arab sexuality expert
1243,vocalist
1243,beatboxer
1243,comedian
1244,professor
1245,roboticist
1246,curator
1246,rare book scholar
1247,muslim studies scholar
1248,designer
1249,performance ensemble
1250,astronomer
1251,digital money
1251,identity consultant
1252,futurist
1253,biologist
1254,thinker
1255,biological miner
1256,expert
1257,autism researcher
1258,journalist
1259,health services innovator
1260,film director
1261,satellite archaeologist
1261,ted prize winner
1262,journalist
1263,skater
1264,reporter
1265,death penalty lawyer
1266,health reporter
1267,techno-illusionist
1268,computer scientist
1269,physicist
1270,engineer
1271,professor
1272,biologist
1273,performance poet
1273,multimedia artist
1274,physical computing guru
1275,digital strategist
1276,mental health law scholar
1277,quantum researcher
1278,global health
1278,development specialist
1279,artist
1280,inventor
1280,environmentalist
1280,educator
1281,revolutionary guitarist
1282,game designer
1283,biologist
1284,mechanical engineer
1285,global security futurist
1286,visualizer
1287,assistant professor
1288,video sculptor
1289,cancer researcher
1290,anti-poverty activist
1291,neuroeconomist
1292,technologist
1293,sonochromatic cyborg artist
1294,computer programmer
1295,designer
1296,navy admiral
1297,politician
1297,data activist
1298,author
1299,femto-photographer
1300,computational architect
1301,beekeeper
1302,photojournalist
1303,blogger
1304,teacher
1305,educator
1306,photo retoucher
1307,composer
1308,complexity theorist
1309,peace builder
1310,management thinker
1311,applied mathematician
1312,"cofounder, incredible edible"
1313,filmmaker
1313,remixer
1314,photographer
1315,writer
1316,public intellectual
1317,disaster relief expert
1318,writer
1318,filmmaker
1319,designer
1320,visual effects guru
1321,author
1322,data intelligence agent
1323,sculptor
1324,scientist
1324,biofuel guru
1325,architect
1326,forensic psychologist
1326,expert witness
1327,mental health care advocate
1328,journalist
1329,stem cell research advocate
1330,dancer
1330,choreographer
1331,open-government expert
1332,author
1332,activist
1333,cognitive neuroscientist
1334,sound consultant
1335,network author
1336,social justice activist
1337,designer
1337,storyteller
1338,trust researcher
1339,management theorist
1340,behavioral neuroscientist
1341,social media theorist
1342,producer
1343,debunker
1344,artist
1344,historian
1345,mapmaker
1346,environmental policy influencer
1347,social psychologist
1348,violinist
1349,lawyer
1350,computer scientist
1350,educator
1351,museum director
1352,business romantic
1353,artist
1354,comedian
1354,mental health activist
1355,communications teacher
1356,art diagnostician
1357,business educator
1358,data commons advocate
1359,neuroscientist
1359,artist
1360,journalist
1361,"coo, mozilla foundation"
1362,globalization researcher
1363,"psychologist, disgust researcher"
1364,poet
1364,playwright
1365,architect
1366,techno-illusionist
1367,politician
1368,development leader
1369,zoologist
1370,moustache activist
1371,writer
1372,happiness researcher
1373,"ceo, team rubicon"
1374,micro photographer
1375,"ceo, lumos"
1376,psychologist
1377,writer
1377,radio producer
1378,inventor
1379,letter enthusiast
1380,designer
1381,theater producer
1382,cognitive researcher
1383,mechanical engineer
1384,bluegrass musicians
1385,filmmaker
1386,artist
1386,designer
1386,urban planner
1387,sustainable development expert
1388,transportation specialist
1389,pilot
1390,raptor biologist
1390,wildlife photographer
1391,designer
1392,editor
1393,entrepreneur
1394,recovering politician
1395,tissue engineering researcher
1396,poet
1396,actor
1397,medicine law expert
1398,journalist
1399,comedian
1400,entomologist
1401,arctic explorer
1402,transport networker
1403,neuroscientist
1404,brand strategist
1405,journalist
1406,graphic designer
1407,novelist
1408,biotechnology entrepreneur
1409,film executive
1410,social psychologist
1411,performance artist
1412,author
1412,illustrator
1413,clinical researcher
1414,mindfulness expert
